trip type,Location,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
daytrip,New South Wales,46051.39,45596.75,50129.21,50146.69,53855.46,51530.52,53318.40,52728.20,56771.28,56806.94,61374.31,69184.07,62015.67,54584.18,41653.42,66520.24
daytrip,Victoria,35411.88,37526.48,40409.46,40520.11,44122.93,43829.71,42905.09,44001.79,47317.64,49559.27,55315.24,61452.91,55555.18,37079.62,42225.56,60549.50
daytrip,Queensland,29339.79,32216.60,34365.35,34700.90,37293.08,38634.08,37406.34,38501.27,41178.63,39485.54,43074.54,48508.18,44036.35,41673.64,37731.87,45787.44
daytrip,South Australia,10301.98,10175.65,10380.84,10834.84,11704.66,11403.35,11983.76,11810.15,13533.05,13156.12,13516.61,15292.46,15519.92,13210.59,11995.74,15220.42
daytrip,Western Australia,13050.42,12300.04,12359.52,13446.77,14154.16,14717.48,17546.69,20227.04,20108.30,18743.52,19216.64,22494.17,19983.75,18712.94,19202.40,21969.35
daytrip,Tasmania,4219.39,4398.63,4625.59,4192.43,4888.87,4912.14,5164.25,5313.76,5755.92,5644.41,6006.97,6756.35,5715.32,5501.29,5175.61,5732.51
daytrip,Northern Territory,930.51,1020.43,1134.92,929.67,1112.24,1010.78,1174.36,1453.15,1574.33,1572.64,1237.64,1298.91,1457.21,1311.67,1372.11,1441.57
daytrip,ACT,1440.11,1490.22,1670.26,1515.20,1715.45,1819.26,1780.23,1779.96,1958.81,2101.42,2092.81,2313.04,2259.40,1755.06,1539.12,2207.55
overnight,New South Wales,24440.49,22861.94,23270.05,24666.11,24270.34,25020.86,26236.58,27157.68,28523.89,30154.16,33667.22,37236.63,30312.20,30154.68,24887.00,36183.21
overnight,Victoria,17613.71,16293.19,16483.10,17068.40,17929.19,17935.21,19249.14,20184.34,21232.56,23375.60,25517.06,29047.36,22700.88,16611.48,19860.92,27820.43
overnight,Queensland,17606.92,16464.67,16106.97,16744.88,17972.96,17957.82,18521.63,19956.90,20204.68,21278.63,22559.55,25311.92,20421.28,20758.19,21709.49,25268.43
overnight,South Australia,5282.43,4879.03,4890.56,5017.62,5101.21,5220.07,5463.46,5809.34,6127.89,6143.67,6598.75,7404.10,6545.48,6350.57,6010.77,7425.31
overnight,Western Australia,6258.68,5735.70,5025.97,5512.48,6104.98,6601.31,8150.10,9508.21,9979.54,9066.33,9508.18,10597.96,9361.47,9718.51,9788.73,11183.21
overnight,Tasmania,2086.46,1867.18,1933.03,1845.86,1992.26,2233.32,2149.55,2255.43,2330.35,2700.41,2840.20,3198.19,2411.30,2727.16,2800.53,2853.07
overnight,Northern Territory,1088.10,1096.54,1033.35,911.42,1019.52,956.13,1193.36,1409.12,1543.52,1589.46,1467.18,1651.36,1346.05,1231.50,1276.10,1494.98
overnight,ACT,1938.72,1895.52,2011.72,1751.46,1879.15,2048.76,2180.02,2218.65,2518.23,2654.40,2765.20,2903.68,2485.11,2204.02,1876.41,3106.66
